"","year","wave","us_regular","east_coast_regular","new_england_regular","central_atlantic_regular","lower_atlantic_regular","gulf_coast_regular","fl_regular","ma_regular","ny_regular","tx_regular"
"69",1999,3,1.12333333333333,1.07211111111111,1.12655555555556,1.11877777777778,1.03566666666667,1.05355555555556,NA,NA,NA,NA
"70",2000,3,1.55188888888889,1.499,1.56666666666667,1.54244444444444,1.45855555555556,1.45733333333333,NA,NA,1.66425,1.4985
"71",2001,3,1.659,1.603875,1.7205,1.686375,1.523125,1.542,NA,NA,1.763,1.5565
"72",2002,3,1.387,1.360375,1.41125,1.404875,1.311625,1.31225,NA,NA,1.48825,1.31975
"73",2003,3,1.49477777777778,1.45355555555556,1.51811111111111,1.50566666666667,1.39522222222222,1.382,1.45516666666667,1.488,1.58944444444444,1.37455555555556
"74",2004,3,1.97711111111111,1.96344444444444,2.02244444444444,2.01411111111111,1.908,1.85855555555556,1.96611111111111,2.01433333333333,2.11611111111111,1.84633333333333
"75",2005,3,2.15866666666667,2.14877777777778,2.17822222222222,2.17355555555556,2.12111111111111,2.06377777777778,2.17833333333333,2.16033333333333,2.28522222222222,2.05422222222222
"76",2006,3,2.89688888888889,2.89311111111111,2.95955555555556,2.959,2.824,2.79155555555556,2.84911111111111,2.95511111111111,3.05833333333333,2.80255555555556
"77",2007,3,3.101,3.01825,3.0525,3.040875,2.991,2.963625,3.01275,2.98625,3.167,2.948625
"78",2008,3,3.926,3.91111111111111,3.964,3.94522222222222,3.86955555555556,3.79777777777778,3.89277777777778,3.88688888888889,4.09755555555556,3.80033333333333
"79",2009,3,2.46833333333333,2.43066666666667,2.45822222222222,2.45833333333333,2.40188888888889,2.34388888888889,2.44655555555556,2.40622222222222,2.58611111111111,2.33555555555556
"80",2010,3,2.78966666666667,2.76477777777778,2.82866666666667,2.803,2.717,2.67433333333333,2.74155555555556,2.77,2.95422222222222,2.67966666666667
"81",2011,3,3.80566666666667,3.79466666666667,3.91344444444444,3.85588888888889,3.71311111111111,3.65222222222222,3.72055555555556,3.84155555555556,4.008,3.67566666666667
"82",2012,3,3.6355,3.547125,3.696,3.622,3.447125,3.404375,3.445125,3.614375,3.79175,3.421375
"83",2013,3,3.620375,3.4885,3.575375,3.5335,3.42875,3.356875,3.443,3.49525,3.699875,3.387
"84",2014,3,3.68322222222222,3.66177777777778,3.74122222222222,3.72066666666667,3.59444444444444,3.44877777777778,3.58533333333333,3.66911111111111,3.85855555555556,3.46633333333333
"85",2015,3,2.76455555555556,2.67122222222222,2.72955555555556,2.74588888888889,2.59788888888889,2.5,2.61788888888889,2.683,2.84044444444444,2.50911111111111
"86",2016,3,2.31144444444444,2.25988888888889,2.31677777777778,2.31611111111111,2.20088888888889,2.06588888888889,2.21988888888889,2.286,2.362,2.07044444444444
"87",2017,3,2.37144444444444,2.31922222222222,2.36855555555556,2.43866666666667,2.215,2.13922222222222,2.28233333333333,2.35077777777778,2.43888888888889,2.15655555555556
"88",2018,3,2.89575,2.832625,2.913625,2.963375,2.726375,2.661125,2.75625,2.888375,2.98075,2.68375
