"state","variable","value"
"New York","1989",33.5
"North Carolina","1989",32.7
"Oregon","1989",34.3
"Rhode Island","1989",33.7
"South Carolina","1989",31.5
"Texas","1989",30.5
"Virginia","1989",32.3
"Washington","1989",32.8
"United States","1990",32.8
"Alabama","1990",32.9
"Alaska","1990",29.3
"California","1990",31.3
"Connecticut","1990",34.3
"Delaware","1990",32.7
"Florida","1990",36.2
"Georgia","1990",31.4
"Hawaii","1990",32.5
"Louisiana","1990",30.9
"Maine","1990",33.8
"Maryland","1990",32.9
"Massachusetts","1990",33.4
"Mississippi","1990",31.1
"New Hampshire","1990",32.7
"New Jersey","1990",34.3
"New York","1990",33.7
"North Carolina","1990",33
"Oregon","1990",34.5
"Rhode Island","1990",33.8
"South Carolina","1990",31.9
"Texas","1990",30.6
"Virginia","1990",32.5
"Washington","1990",33
"United States","1991",33.1
"Alabama","1991",33.5
"Alaska","1991",29.6
"California","1991",31.4
"Connecticut","1991",34.7
"Delaware","1991",33.1
"Florida","1991",36.3
"Georgia","1991",31.8
"Hawaii","1991",33.1
"Louisiana","1991",31.5
"Maine","1991",34.4
"Maryland","1991",33.2
"Massachusetts","1991",33.8
"Mississippi","1991",31.7
"New Hampshire","1991",33.3
"New Jersey","1991",34.7
"New York","1991",34
"North Carolina","1991",33.4
"Oregon","1991",34.8
"Rhode Island","1991",34.2
"South Carolina","1991",32.4
"Texas","1991",31
"Virginia","1991",32.9
"Washington","1991",33.3
"United States","1992",33.4
"Alabama","1992",33.8
"Alaska","1992",30.2
"California","1992",31.7
"Connecticut","1992",35
"Delaware","1992",33.5
"Florida","1992",36.5
"Georgia","1992",32.1
"Hawaii","1992",33.5
"Louisiana","1992",31.8
"Maine","1992",34.8
"Maryland","1992",33.6
"Massachusetts","1992",34.2
"Mississippi","1992",31.9
"New Hampshire","1992",33.7
"New Jersey","1992",34.9
"New York","1992",34.2
"North Carolina","1992",33.6
"Oregon","1992",35.1
"Rhode Island","1992",34.5
"South Carolina","1992",32.8
"Texas","1992",31.3
"Virginia","1992",33.2
"Washington","1992",33.6
"United States","1993",33.7
"Alabama","1993",34.1
"Alaska","1993",30.5
"California","1993",32
"Connecticut","1993",35.3
"Delaware","1993",33.9
"Florida","1993",36.8
"Georgia","1993",32.4
"Hawaii","1993",33.8
"Louisiana","1993",32.1
"Maine","1993",35.3
"Maryland","1993",33.9
"Massachusetts","1993",34.5
"Mississippi","1993",32.1
"New Hampshire","1993",34.1
"New Jersey","1993",35.2
"New York","1993",34.4
"North Carolina","1993",33.9
"Oregon","1993",35.5
"Rhode Island","1993",34.8
"South Carolina","1993",33.2
"Texas","1993",31.6
"Virginia","1993",33.6
"Washington","1993",34
"United States","1994",34.1
"Alabama","1994",34.4
"Alaska","1994",30.9
"California","1994",32.2
"Connecticut","1994",35.6
"Delaware","1994",34.2
"Florida","1994",37.1
"Georgia","1994",32.7
"Hawaii","1994",34.2
"Louisiana","1994",32.4
"Maine","1994",35.7
"Maryland","1994",34.2
"Massachusetts","1994",34.8
"Mississippi","1994",32.3
"New Hampshire","1994",34.4
"New Jersey","1994",35.4
"New York","1994",34.7
"North Carolina","1994",34.2
"Oregon","1994",35.8
"Rhode Island","1994",35.1
"South Carolina","1994",33.6
"Texas","1994",31.9
"Virginia","1994",33.9
"Washington","1994",34.3
"United States","1995",34.3
"Alabama","1995",34.6
"Alaska","1995",31.4
"California","1995",32.4
"Connecticut","1995",35.9
"Delaware","1995",34.6
"Florida","1995",37.4
"Georgia","1995",33
"Hawaii","1995",34.7
"Louisiana","1995",32.8
"Maine","1995",36.1
"Maryland","1995",34.6
"Massachusetts","1995",35.1
"Mississippi","1995",32.6
"New Hampshire","1995",34.8
"New Jersey","1995",35.7
"New York","1995",34.9
"North Carolina","1995",34.5
"Oregon","1995",36
"Rhode Island","1995",35.4
"South Carolina","1995",34.1
"Texas","1995",32.2
"Virginia","1995",34.2
"Washington","1995",34.6
"United States","1996",34.7
"Alabama","1996",35
"Alaska","1996",31.7
"California","1996",32.7
"Connecticut","1996",36.3
"Delaware","1996",35
"Florida","1996",37.7
"Georgia","1996",33.3
"Hawaii","1996",35.2
"Louisiana","1996",33.1
"Maine","1996",36.6
"Maryland","1996",35
"Massachusetts","1996",35.5
"Mississippi","1996",32.9
"New Hampshire","1996",35.2
"New Jersey","1996",36
"New York","1996",35.3
"North Carolina","1996",34.8
"Oregon","1996",36.3
"Rhode Island","1996",35.8
"South Carolina","1996",34.4
"Texas","1996",32.4
"Virginia","1996",34.6
"Washington","1996",34.9
"United States","1997",34.9
"Alabama","1997",35.2
"Alaska","1997",31.7
"California","1997",33
"Connecticut","1997",36.7
"Delaware","1997",35.3
"Florida","1997",38
"Georgia","1997",33.5
"Hawaii","1997",35.7
"Louisiana","1997",33.5
"Maine","1997",37
"Maryland","1997",35.3
"Massachusetts","1997",35.9
"Mississippi","1997",33.2
"New Hampshire","1997",35.5
"New Jersey","1997",36.4
"New York","1997",35.6
"North Carolina","1997",35
"Oregon","1997",36.5
"Rhode Island","1997",36.1
"South Carolina","1997",34.8
"Texas","1997",32.7
"Virginia","1997",34.9
"Washington","1997",35.1
"United States","1998",35.2
"Alabama","1998",35.6
"Alaska","1998",31.4
"California","1998",33.3
"Connecticut","1998",36.8
"Delaware","1998",35.6
"Florida","1998",38.4
"Georgia","1998",33.7
"Hawaii","1998",36.3
"Louisiana","1998",33.8
"Maine","1998",37.4
"Maryland","1998",35.5
"Massachusetts","1998",36.2
"Mississippi","1998",33.4
"New Hampshire","1998",35.7
"New Jersey","1998",36.7
"New York","1998",36
"North Carolina","1998",35.2
"Oregon","1998",36.7
"Rhode Island","1998",36.4
"South Carolina","1998",35.2
"Texas","1998",32.9
"Virginia","1998",35.1
"Washington","1998",35.3
"United States","1999",35.5
"Alabama","1999",36
"Alaska","1999",30.9
"California","1999",33.6
"Connecticut","1999",37
"Delaware","1999",35.9
"Florida","1999",38.7
"Georgia","1999",34
"Hawaii","1999",36.9
"Louisiana","1999",34.1
"Maine","1999",37.8
"Maryland","1999",35.7
"Massachusetts","1999",36.5
"Mississippi","1999",33.7
"New Hampshire","1999",35.9
"New Jersey","1999",37
"New York","1999",36.4
"North Carolina","1999",35.5
"Oregon","1999",36.9
"Rhode Island","1999",36.6
"South Carolina","1999",35.5
"Texas","1999",33
"Virginia","1999",35.4
"Washington","1999",35.5
"United States","2000",35.3
"Alabama","2000",35.8
"Alaska","2000",32.4
"California","2000",33.3
"Connecticut","2000",37.4
"Delaware","2000",36
"Florida","2000",38.7
"Georgia","2000",33.4
"Hawaii","2000",36.2
"Louisiana","2000",34
"Maine","2000",38.6
"Maryland","2000",36
"Massachusetts","2000",36.5
"Mississippi","2000",33.8
"New Hampshire","2000",37.1
"New Jersey","2000",36.7
"New York","2000",35.9
"North Carolina","2000",35.3
"Oregon","2000",36.3
"Rhode Island","2000",36.7
"South Carolina","2000",35.4
"Texas","2000",32.3
"Virginia","2000",35.7
"Washington","2000",35.3
"United States","2001",35.6
"Alabama","2001",36.2
"Alaska","2001",32.7
"California","2001",33.5
"Connecticut","2001",37.8
"Delaware","2001",36.4
"Florida","2001",39
"Georgia","2001",33.5
"Hawaii","2001",36.6
"Louisiana","2001",34.4
"Maine","2001",39.2
"Maryland","2001",36.3
"Massachusetts","2001",36.8
"Mississippi","2001",34.1
"New Hampshire","2001",37.5
"New Jersey","2001",37
"New York","2001",36.2
"North Carolina","2001",35.6
"Oregon","2001",36.6
"Rhode Island","2001",37
"South Carolina","2001",35.8
"Texas","2001",32.5
"Virginia","2001",36
"Washington","2001",35.6
"United States","2002",35.8
"Alabama","2002",36.5
"Alaska","2002",32.9
"California","2002",33.7
"Connecticut","2002",38
"Delaware","2002",36.7
"Florida","2002",39.2
"Georgia","2002",33.7
"Hawaii","2002",36.9
"Louisiana","2002",34.6
"Maine","2002",39.5
"Maryland","2002",36.6
"Massachusetts","2002",37.1
"Mississippi","2002",34.4
"New Hampshire","2002",37.9
"New Jersey","2002",37.3
"New York","2002",36.5
"North Carolina","2002",35.8
"Oregon","2002",36.8
"Rhode Island","2002",37.2
"South Carolina","2002",36
"Texas","2002",32.6
"Virginia","2002",36.2
"Washington","2002",35.8
"United States","2003",35.9
"Alabama","2003",36.7
"Alaska","2003",33.1
"California","2003",33.9
"Connecticut","2003",38.3
"Delaware","2003",37
"Florida","2003",39.4
"Georgia","2003",34
"Hawaii","2003",37.2
"Louisiana","2003",34.8
"Maine","2003",39.9
"Maryland","2003",36.8
"Massachusetts","2003",37.4
"Mississippi","2003",34.6
"New Hampshire","2003",38.2
"New Jersey","2003",37.5
"New York","2003",36.7
"North Carolina","2003",36.1
"Oregon","2003",37
"Rhode Island","2003",37.5
"South Carolina","2003",36.3
"Texas","2003",32.8
"Virginia","2003",36.4
"Washington","2003",36
"United States","2004",36.1
"Alabama","2004",36.9
"Alaska","2004",33.3
"California","2004",34.1
"Connecticut","2004",38.6
"Delaware","2004",37.3
"Florida","2004",39.6
"Georgia","2004",34.1
"Hawaii","2004",37.4
"Louisiana","2004",34.9
"Maine","2004",40.3
"Maryland","2004",36.9
"Massachusetts","2004",37.7
