species,year,season,harvest.n
SHEEPSHEAD,2002,1,16413
SHEEPSHEAD,2002,2,67505
SHEEPSHEAD,2003,1,19253
SHEEPSHEAD,2003,2,56869
SHEEPSHEAD,2004,1,14157
SHEEPSHEAD,2004,2,52795
SHEEPSHEAD,2005,1,12212
SHEEPSHEAD,2005,2,68529
SHEEPSHEAD,2006,1,10947
SHEEPSHEAD,2006,2,67337
SHEEPSHEAD,2007,1,9470
SHEEPSHEAD,2007,2,36526
SHEEPSHEAD,2008,1,12183
SHEEPSHEAD,2008,2,34108
SHEEPSHEAD,2009,1,8267
SHEEPSHEAD,2009,2,25858
SHEEPSHEAD,2010,1,9708
SHEEPSHEAD,2010,2,39663
SHEEPSHEAD,2011,1,8855
SHEEPSHEAD,2011,2,48025
SHEEPSHEAD,2012,1,10090
SHEEPSHEAD,2012,2,133039
SHEEPSHEAD,2013,1,12139
SHEEPSHEAD,2013,2,72051
SHEEPSHEAD,2014,1,11615
SHEEPSHEAD,2014,2,27230
SHEEPSHEAD,2015,1,15762
SHEEPSHEAD,2015,2,35214
SHEEPSHEAD,2016,1,8354
SHEEPSHEAD,2016,2,97249
SHEEPSHEAD,2017,1,8113
SHEEPSHEAD,2017,2,51516
SHEEPSHEAD,2018,1,48740
SHEEPSHEAD,2018,2,35374
SHEEPSHEAD,2019,1,92514
SHEEPSHEAD,2019,2,30100
SOUTHERN FLOUNDER,1983,1,111015
SOUTHERN FLOUNDER,1984,1,82361
SOUTHERN FLOUNDER,1984,2,22718
SOUTHERN FLOUNDER,1985,1,107868
SOUTHERN FLOUNDER,1985,2,47879
SOUTHERN FLOUNDER,1986,1,97155
SOUTHERN FLOUNDER,1986,2,49805
SOUTHERN FLOUNDER,1987,1,154306
SOUTHERN FLOUNDER,1987,2,30496
SOUTHERN FLOUNDER,1988,1,114937
SOUTHERN FLOUNDER,1988,2,44242
SOUTHERN FLOUNDER,1989,1,77088
SOUTHERN FLOUNDER,1989,2,22462
SOUTHERN FLOUNDER,1990,1,103814
SOUTHERN FLOUNDER,1990,2,25509
SOUTHERN FLOUNDER,1991,1,136469
SOUTHERN FLOUNDER,1991,2,21353
SOUTHERN FLOUNDER,1992,1,118614
SOUTHERN FLOUNDER,1992,2,31184
SOUTHERN FLOUNDER,1993,1,98893
SOUTHERN FLOUNDER,1993,2,45584
SOUTHERN FLOUNDER,1994,1,107570
SOUTHERN FLOUNDER,1994,2,53503
SOUTHERN FLOUNDER,1995,1,98964
SOUTHERN FLOUNDER,1995,2,25759
SOUTHERN FLOUNDER,1996,1,102951
SOUTHERN FLOUNDER,1996,2,32926
SOUTHERN FLOUNDER,1997,1,67124
SOUTHERN FLOUNDER,1997,2,11909
SOUTHERN FLOUNDER,1998,1,82971
SOUTHERN FLOUNDER,1998,2,27789
SOUTHERN FLOUNDER,1999,1,100472
SOUTHERN FLOUNDER,1999,2,52994
SOUTHERN FLOUNDER,2000,1,55981
SOUTHERN FLOUNDER,2000,2,44175
SOUTHERN FLOUNDER,2001,1,62406
SOUTHERN FLOUNDER,2001,2,62669
SOUTHERN FLOUNDER,2002,1,54951
SOUTHERN FLOUNDER,2002,2,36065
SOUTHERN FLOUNDER,2003,1,71814
SOUTHERN FLOUNDER,2003,2,39216
SOUTHERN FLOUNDER,2004,1,52943
SOUTHERN FLOUNDER,2004,2,47534
SOUTHERN FLOUNDER,2005,1,38246
SOUTHERN FLOUNDER,2005,2,42286
SOUTHERN FLOUNDER,2006,1,39410
SOUTHERN FLOUNDER,2006,2,24912
SOUTHERN FLOUNDER,2007,1,33789
SOUTHERN FLOUNDER,2007,2,15328
SOUTHERN FLOUNDER,2008,1,53490
SOUTHERN FLOUNDER,2008,2,10922
SOUTHERN FLOUNDER,2009,1,35892
SOUTHERN FLOUNDER,2009,2,11528
SOUTHERN FLOUNDER,2010,1,25218
SOUTHERN FLOUNDER,2010,2,5016
SOUTHERN FLOUNDER,2011,1,73185
SOUTHERN FLOUNDER,2011,2,18926
SOUTHERN FLOUNDER,2012,1,56201
SOUTHERN FLOUNDER,2012,2,39362
SOUTHERN FLOUNDER,2013,1,48507
SOUTHERN FLOUNDER,2013,2,43008
SOUTHERN FLOUNDER,2014,1,57467
SOUTHERN FLOUNDER,2014,2,13793
SOUTHERN FLOUNDER,2015,1,60470
SOUTHERN FLOUNDER,2015,2,24938
SOUTHERN FLOUNDER,2016,1,74501
SOUTHERN FLOUNDER,2016,2,29404
SOUTHERN FLOUNDER,2017,1,41081
SOUTHERN FLOUNDER,2017,2,35845
SOUTHERN FLOUNDER,2018,1,18614
SOUTHERN FLOUNDER,2018,2,23710
SOUTHERN FLOUNDER,2019,1,50955
SOUTHERN FLOUNDER,2019,2,17965
SPANISH MACKEREL,1983,1,3743
SPANISH MACKEREL,1984,1,5570
SPANISH MACKEREL,1984,2,0
SPANISH MACKEREL,1985,1,3363
