s,Year,Wave,State,Common Name,Total Harvest (A+B1),PSE
FINAL,2009,SEPTEMBER/OCTOBER,FLORIDA,RED PORGY,17090,29.5
FINAL,2009,NOVEMBER/DECEMBER,ALABAMA,RED PORGY,149,106.3
FINAL,2009,NOVEMBER/DECEMBER,FLORIDA,RED PORGY,364,68.1
FINAL,2010,JANUARY/FEBRUARY,FLORIDA,RED PORGY,4334,70.2
FINAL,2010,MARCH/APRIL,ALABAMA,RED PORGY,14127,66.3
FINAL,2010,MARCH/APRIL,FLORIDA,RED PORGY,37243,21.9
FINAL,2010,MAY/JUNE,ALABAMA,RED PORGY,1013,29
FINAL,2010,MAY/JUNE,FLORIDA,RED PORGY,39714,42.7
FINAL,2010,JULY/AUGUST,FLORIDA,RED PORGY,17252,27.2
FINAL,2010,JULY/AUGUST,LOUISIANA,RED PORGY,113,56
FINAL,2010,SEPTEMBER/OCTOBER,ALABAMA,RED PORGY,14588,103.1
FINAL,2010,SEPTEMBER/OCTOBER,FLORIDA,RED PORGY,45372,48.5
FINAL,2010,NOVEMBER/DECEMBER,ALABAMA,RED PORGY,211,54.4
FINAL,2010,NOVEMBER/DECEMBER,FLORIDA,RED PORGY,146662,66.9
FINAL,2011,JANUARY/FEBRUARY,ALABAMA,RED PORGY,449,85.9
FINAL,2011,JANUARY/FEBRUARY,FLORIDA,RED PORGY,3620,26.8
FINAL,2011,MARCH/APRIL,ALABAMA,RED PORGY,3840,64
FINAL,2011,MARCH/APRIL,FLORIDA,RED PORGY,47428,24.2
FINAL,2011,MAY/JUNE,ALABAMA,RED PORGY,3081,34.8
FINAL,2011,MAY/JUNE,FLORIDA,RED PORGY,134015,37.2
FINAL,2011,JULY/AUGUST,ALABAMA,RED PORGY,19575,47.2
FINAL,2011,JULY/AUGUST,FLORIDA,RED PORGY,99537,23.7
FINAL,2011,SEPTEMBER/OCTOBER,ALABAMA,RED PORGY,12083,67.7
FINAL,2011,SEPTEMBER/OCTOBER,FLORIDA,RED PORGY,57847,71
FINAL,2011,NOVEMBER/DECEMBER,ALABAMA,RED PORGY,1043,58.5
FINAL,2011,NOVEMBER/DECEMBER,FLORIDA,RED PORGY,19976,46.9
FINAL,2012,JANUARY/FEBRUARY,ALABAMA,RED PORGY,2301,63.1
FINAL,2012,JANUARY/FEBRUARY,FLORIDA,RED PORGY,10682,82.2
FINAL,2012,MARCH/APRIL,ALABAMA,RED PORGY,1277,58.6
FINAL,2012,MARCH/APRIL,FLORIDA,RED PORGY,91314,39
FINAL,2012,MAY/JUNE,ALABAMA,RED PORGY,5343,71.3
FINAL,2012,MAY/JUNE,FLORIDA,RED PORGY,84181,32.9
FINAL,2012,JULY/AUGUST,ALABAMA,RED PORGY,13379,61.7
FINAL,2012,JULY/AUGUST,FLORIDA,RED PORGY,99022,20.9
FINAL,2012,SEPTEMBER/OCTOBER,ALABAMA,RED PORGY,872,114.1
