ID,year,wave,state,area,juristiction,depth.allowed,species,start.date,end.date,daily.closures,bag.limit,agg.bag.limit,agg.bag.limit.wt,boat.limit,poss.limit,bonus.limit,min.size,tl.fl,min.size2,max.size,max.size2,bag.above.max,bag.above.max2,bag.below.min,mode,gear.restriction,other,comments,imputed
,1995,5,SC,,,,Red_Porgy,01-09-95,31-10-95,,,,,,,,12,1,,,,,,,,,,,
,1995,6,SC,,,,Red_Porgy,01-11-95,31-12-95,,,,,,,,12,1,,,,,,,,,,,
,1996,1,SC,,,,Red_Porgy,01-01-96,29-02-96,,,,,,,,12,1,,,,,,,,,,,
,1996,2,SC,,,,Red_Porgy,01-03-96,30-04-96,,,,,,,,12,1,,,,,,,,,,,
,1996,3,SC,,,,Red_Porgy,01-05-96,30-06-96,,,,,,,,12,1,,,,,,,,,,,
,1996,4,SC,,,,Red_Porgy,01-07-96,31-08-96,,,,,,,,12,1,,,,,,,,,,,
,1996,5,SC,,,,Red_Porgy,01-09-96,31-10-96,,,,,,,,12,1,,,,,,,,,,,
,1996,6,SC,,,,Red_Porgy,01-11-96,31-12-96,,,,,,,,12,1,,,,,,,,,,,
,1997,1,SC,,,,Red_Porgy,01-01-97,28-02-97,,,,,,,,12,1,,,,,,,,,,,
,1997,2,SC,,,,Red_Porgy,01-03-97,30-04-97,,,,,,,,12,1,,,,,,,,,,,
,1997,3,SC,,,,Red_Porgy,01-05-97,30-06-97,,,,,,,,12,1,,,,,,,,,,,
,1997,4,SC,,,,Red_Porgy,01-07-97,31-08-97,,,,,,,,12,1,,,,,,,,,,,
,1997,5,SC,,,,Red_Porgy,01-09-97,31-10-97,,,,,,,,12,1,,,,,,,,,,,
,1997,6,SC,,,,Red_Porgy,01-11-97,31-12-97,,,,,,,,12,1,,,,,,,,,,,
,1998,1,SC,,,,Red_Porgy,01-01-98,28-02-98,,,,,,,,12,1,,,,,,,,,,,
,1998,2,SC,,,,Red_Porgy,01-03-98,30-04-98,,,,,,,,12,1,,,,,,,,,,,
,1998,3,SC,,,,Red_Porgy,01-05-98,30-06-98,,,,,,,,12,1,,,,,,,,,,,
,1998,4,SC,,,,Red_Porgy,01-07-98,31-08-98,,,,,,,,12,1,,,,,,,,,,,
,1998,5,SC,,,,Red_Porgy,01-09-98,31-10-98,,,,,,,,12,1,,,,,,,,,,,
,1998,6,SC,,,,Red_Porgy,01-11-98,31-12-98,,,,,,,,12,1,,,,,,,,,,,
,1999,1,SC,,,,Red_Porgy,01-01-99,31-01-99,,,,,,,,12,1,,,,,,,,,,,
,1999,1,SC,,,,Red_Porgy,01-02-99,28-02-99,,5,,,,,,14,1,,,,,,,,,,,
,1999,2,SC,,,,Red_Porgy,01-03-99,30-04-99,,5,,,,,,14,1,,,,,,,,,,,
,1999,3,SC,,,,Red_Porgy,01-05-99,30-06-99,,5,,,,,,14,1,,,,,,,,,,,
,1999,4,SC,,,,Red_Porgy,01-07-99,31-08-99,,5,,,,,,14,1,,,,,,,,,,,
,1999,5,SC,,,,Red_Porgy,01-09-99,31-10-99,,5,,,,,,14,1,,,,,,,,,,,
,1999,6,SC,,,,Red_Porgy,01-11-99,31-12-99,,0,,,,,,,,,,,,,,,,,,
,2000,1,SC,,,,Red_Porgy,01-01-00,29-02-00,,0,,,,,,,,,,,,,,,,,,
,2000,2,SC,,,,Red_Porgy,01-03-00,30-04-00,,0,,,,,,,,,,,,,,,,,,
,2000,3,SC,,,,Red_Porgy,01-05-00,30-06-00,,0,,,,,,,,,,,,,,,,,,
,2000,4,SC,,,,Red_Porgy,01-07-00,31-07-00,,0,,,,,,,,,,,,,,,,,,
,2000,4,SC,,,,Red_Porgy,01-08-00,31-08-00,,1,,,,,,14,1,,,,,,,,,,,
,2000,5,SC,,,,Red_Porgy,01-09-00,31-10-00,,1,,,,,,14,1,,,,,,,,,,,
,2000,6,SC,,,,Red_Porgy,01-11-00,31-12-00,,1,,,,,,14,1,,,,,,,,,,,
,2001,1,SC,,,,Red_Porgy,01-01-01,28-02-01,,1,,,,,,14,1,,,,,,,,,,,
,2001,2,SC,,,,Red_Porgy,01-03-01,30-04-01,,1,,,,,,14,1,,,,,,,,,,,
,2001,3,SC,,,,Red_Porgy,01-05-01,30-06-01,,1,,,,,,14,1,,,,,,,,,,,
,2001,4,SC,,,,Red_Porgy,01-07-01,31-08-01,,1,,,,,,14,1,,,,,,,,,,,
,2001,5,SC,,,,Red_Porgy,01-09-01,31-10-01,,1,,,,,,14,1,,,,,,,,,,,
,2001,6,SC,,,,Red_Porgy,01-11-01,31-12-01,,1,,,,,,14,1,,,,,,,,,,,
,2002,1,SC,,,,Red_Porgy,01-01-02,28-02-02,,1,,,,,,14,1,,,,,,,,,,,
,2002,2,SC,,,,Red_Porgy,01-03-02,30-04-02,,1,,,,,,14,1,,,,,,,,,,,
,2002,3,SC,,,,Red_Porgy,01-05-02,30-06-02,,1,,,,,,14,1,,,,,,,,,,,
,2002,4,SC,,,,Red_Porgy,01-07-02,31-08-02,,1,,,,,,14,1,,,,,,,,,,,
,2002,5,SC,,,,Red_Porgy,01-09-02,31-10-02,,1,,,,,,14,1,,,,,,,,,,,
,2002,6,SC,,,,Red_Porgy,01-11-02,31-12-02,,1,,,,,,14,1,,,,,,,,,,,
